cik,name,alias,alias_clean,alias_source
0001141964,PUBLIC CO MANAGEMENT CORP,MYOFFIZ INC,myoffiz,sec_former_name
0001502966,HYPHA LABS INC,"Digipath, Inc.",digipath,sec_former_name
0001502966,HYPHA LABS INC,"DigiPath,Inc.",digipathinc,sec_former_name
0000725363,CEL-SCI CORP,CEL SCI CORP,cel sci,sec_current_name
0000725363,CEL-SCI CORP,INTERLEUKIN 2 INC,interleukin 2,sec_former_name
0000725394,DALRADA TECHNOLOGY GROUP INC,DALRADA FINANCIAL CORP,dalrada financial,sec_current_name
0000725394,DALRADA TECHNOLOGY GROUP INC,IMAGING TECHNOLOGIES CORP/CA,imaging technologies corpca,sec_former_name
0000725394,DALRADA TECHNOLOGY GROUP INC,PERSONAL COMPUTER PRODUCTS INC,personal computer products,sec_former_name
0000796343,ADOBE INC,ADOBE SYSTEMS INC,adobe systems,sec_former_name
0001614556,STAR ALLIANCE INTL CORP,Star Alliance International Corp.,star alliance international,sec_current_name
0001614556,STAR ALLIANCE INTL CORP,ASTERIKO CORP.,asteriko,sec_former_name
0001492617,FLYWHEEL ADVANCED TECHNO INC,"FLYWHEEL ADVANCED TECHNOLOGY, INC.",flywheel advanced technology,sec_current_name
0001492617,FLYWHEEL ADVANCED TECHNO INC,"PAN GLOBAL, CORP.",pan global,sec_former_name
0001492617,FLYWHEEL ADVANCED TECHNO INC,SAVVY BUSINESS SUPPORT INC,savvy business support,sec_former_name
0001492617,FLYWHEEL ADVANCED TECHNO INC,SAAVY BUSINESS SUPPORT INC,saavy business support,sec_former_name
0001665300,PHUNWARE INC,Stellar Acquisition III Inc.,stellar acquisition iii,sec_former_name
0000864749,TRIMBLE INC,TRIMBLE NAVIGATION LTD /CA/,trimble navigation ltd ca,sec_former_name
0000038264,FORWARD INDUSTRIES INC,PROGRESS HEAT SEALING CO INC,progress heat sealing,sec_former_name
0001740797,AVAI BIO INC,AVANT TECHNOLOGIES INC.,avant technologies,sec_current_name
0001740797,AVAI BIO INC,TREND INNOVATIONS HOLDING INC.,trend innovations,sec_former_name
0001740797,AVAI BIO INC,FREECOOK,freecook,sec_former_name
0000876167,PROGRESS SOFTWARE CORP,PROGRESS SOFTWARE CORP /MA,progress software corp ma,sec_current_name
0000087347,SLB LTD,SCHLUMBERGER LIMITED/NV,schlumberger limitednv,sec_current_name
0000087347,SLB LTD,SCHLUMBERGER LTD /NV/,schlumberger ltd nv,sec_former_name
0000087347,SLB LTD,SCHLUMBERGER NV,schlumberger nv,sec_former_name
0000087347,SLB LTD,SCHLUMBERGER LTD,schlumberger,sec_former_name
0001649989,OUTLOOK THERAPEUTICS INC,"Oncobiologics, Inc.",oncobiologics,sec_former_name
0000920760,LENNAR CORP,LENNAR CORP /NEW/,lennar corp new,sec_current_name
0000920760,LENNAR CORP,PACIFIC GREYSTONE CORP /DE/,pacific greystone corp de,sec_former_name
0000004127,SKYWORKS SOLUTIONS INC,ALPHA INDUSTRIES INC,alpha industries,sec_former_name
0001177394,TD SYNNEX CORP,SYNNEX CORP,synnex,sec_former_name
0001499961,BOLLINGER INNOVATIONS INC,MULLEN AUTOMOTIVE INC.,mullen automotive,sec_current_name
0001499961,BOLLINGER INNOVATIONS INC,"Net Element, Inc.",net element,sec_former_name
0001499961,BOLLINGER INNOVATIONS INC,"Net Element International, Inc.",net element international,sec_former_name
0001499961,BOLLINGER INNOVATIONS INC,Cazador Acquisition Corp Ltd.,cazador acquisition corp,sec_former_name
0000795266,KB HOME,KAUFMAN & BROAD HOME CORP,kaufman broad home,sec_former_name
0001506251,CITIUS PHARMACEUTICALS INC,"Trail One, Inc.",trail one,sec_former_name
0001506251,CITIUS PHARMACEUTICALS INC,"TrailOne, Inc.",trailone,sec_former_name
0001851484,CITIUS ONCOLOGY INC,TenX Keane Acquisition,tenx keane acquisition,sec_former_name
0001035443,ALEXANDRIA R E EQUITIES INC,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",alexandria real estate equities,sec_current_name
0001035443,ALEXANDRIA R E EQUITIES INC,ALEXANDRIA REAL ESTATE EQUITIES INC,alexandria real estate equities,sec_former_name
0001065280,NETFLIX INC,NETFLIX COM INC,netflix com,sec_former_name
0000815097,CARNIVAL CORPORATION & PLC,CARNIVAL CORP,carnival,sec_current_name
0000815097,CARNIVAL CORPORATION & PLC,CARNIVAL CRUISE LINES INC,carnival cruise lines,sec_former_name
0001125259,CARNIVAL CORP/PLC (GBR),CARNIVAL PLC,carnival,sec_current_name
0001125259,CARNIVAL CORP/PLC (GBR),P&O PRINCESS CRUISES PLC,po princess cruises,sec_former_name
0001601280,MEDIXALL GROUP INC,"MediXall Group, Inc.",medixall group,sec_current_name
0001601280,MEDIXALL GROUP INC,CONTINENTAL RAIL CORP,continental rail,sec_former_name
0001549595,NURIX THERAPEUTICS INC,"Nurix, Inc.",nurix,sec_former_name
0000804269,GENERAL MOTORS FINL CO INC,"General Motors Financial Company, Inc.",general motors financial company,sec_current_name
0000804269,GENERAL MOTORS FINL CO INC,AMERICREDIT CORP,americredit,sec_former_name
0000804269,GENERAL MOTORS FINL CO INC,URCARCO INC,urcarco,sec_former_name
0000096223,JEFFERIES FINANCIAL GRP INC,Jefferies Financial Group Inc.,jefferies financial,sec_current_name
0000096223,JEFFERIES FINANCIAL GRP INC,LEUCADIA NATIONAL CORP,leucadia national,sec_former_name
0000096223,JEFFERIES FINANCIAL GRP INC,TALCOTT NATIONAL CORP,talcott national,sec_former_name
0001067701,UNITED RENTALS INC,UNITED RENTALS INC /DE,united rentals inc de,sec_former_name
0001047166,United Rentals North America Inc,UNITED RENTALS INC,united rentals,sec_former_name
0001083743,FLUX POWER HOLDINGS INC,"Flux Power Holdings, Inc.",flux power holdings,sec_current_name
0001083743,FLUX POWER HOLDINGS INC,"Lone Pine Holdings, Inc",lone pine holdings,sec_former_name
0001083743,FLUX POWER HOLDINGS INC,Australian Forest Industries,australian forest industries,sec_former_name
0001083743,FLUX POWER HOLDINGS INC,MULTI TECH INTERNATIONAL CORP,multi tech international,sec_former_name
0001304161,PHARMA-BIO SERV INC,LAWRENCE CONSULTING GROUP INC,lawrence consulting,sec_former_name
0001334325,CODA OCTOPUS GROUP INC,"Coda Octopus Group, Inc.",coda octopus group,sec_current_name
0001133421,NORTHROP GRUMMAN CORP,NORTHROP GRUMMAN CORP /DE/,northrop grumman corp de,sec_current_name
0001133421,NORTHROP GRUMMAN CORP,NNG INC,nng,sec_former_name
0001318605,TESLA INC,TESLA MOTORS INC,tesla motors,sec_former_name
0001326801,META PLATFORMS INC,Facebook Inc,facebook,sec_former_name
0001373715,SERVICENOW INC,SERVICE-NOW.COM,servicenowcom,sec_former_name
0000908937,SIRIUS XM HOLDINGS INC,SIRIUS XM RADIO INC.,sirius xm radio,sec_former_name
0000908937,SIRIUS XM HOLDINGS INC,SIRIUS SATELLITE RADIO INC,sirius satellite radio,sec_former_name
0000908937,SIRIUS XM HOLDINGS INC,CD RADIO INC,cd radio,sec_former_name
0001091667,CHARTER COMMUNICATIONS INC,"CHARTER COMMUNICATIONS, INC. /MO/",charter communications inc mo,sec_current_name
0001091667,CHARTER COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC /MO/,charter communications inc mo,sec_former_name
0001166691,COMCAST CORP,AT&T COMCAST CORP,att comcast,sec_former_name
0001283699,T-MOBILE US INC,METROPCS COMMUNICATIONS INC,metropcs communications,sec_former_name
0001546853,SKKYNET CLOUD SYSTEMS INC,"Skyynet Cloud Systems, Inc.",skyynet cloud systems,sec_former_name
0000101829,RTX CORP,RAYTHEON TECHNOLOGIES CORP,raytheon technologies,sec_former_name
0000101829,RTX CORP,UNITED TECHNOLOGIES CORP /DE/,united technologies corp de,sec_former_name
0000101829,RTX CORP,UNITED TECHNOLOGIES MICROELECTRONICS CENTER,united technologies microelectronics center,sec_former_name
0000012927,BOEING CO,BOEING AIRPLANE CO,boeing airplane,sec_former_name
0000040545,GE AEROSPACE,GENERAL ELECTRIC CO,general electric,sec_current_name
0000040545,GE AEROSPACE,GENERAL ELECTRIC Co,general electric,sec_former_name
0000040545,GE AEROSPACE,GENERAL ELECTRIC CO,general electric,sec_former_name
0000100790,UNION CARBIDE CORP,UNION CARBIDE CORP /NEW/,union carbide corp new,sec_current_name
0000100790,UNION CARBIDE CORP,UNION CARBIDE CHEMICALS & PLASTICS CO INC,union carbide chemicals plastics,sec_former_name
0000100790,UNION CARBIDE CORP,UNION CARBIDE & CARBON CORP,union carbide carbon,sec_former_name
0001633917,PAYPAL HOLDINGS INC,"PayPal Holdings, Inc.",paypal holdings,sec_current_name
0001701605,BAKER HUGHES CO,Baker Hughes a GE Co,baker hughes a ge,sec_former_name
0001701605,BAKER HUGHES CO,"Bear Newco, Inc.",bear newco,sec_former_name
0000029915,Dow Chemical Co,DOW CHEMICAL CO /DE/,dow chemical co de,sec_current_name
0000765880,HEALTHPEAK PROPERTIES INC,"HCP, INC.",hcp,sec_former_name
0000765880,HEALTHPEAK PROPERTIES INC,HEALTH CARE PROPERTY INVESTORS INC,health care property investors,sec_former_name
0000077476,PEPSICO INC,PEPSI COLA CO,pepsi cola,sec_former_name
0001103982,MONDELEZ INTERNATIONAL INC,KRAFT FOODS INC,kraft foods,sec_former_name
0001125376,ENSIGN GROUP INC,"ENSIGN GROUP, INC",ensign group,sec_current_name
0001564408,SNAP INC,Snapchat Inc,snapchat,sec_former_name
0000029989,OMNICOM GROUP INC,DOYLE DANE BERNBACH GROUP INC,doyle dane bernbach,sec_former_name
0000029989,OMNICOM GROUP INC,DOYLE DANE BERNBACH INTERNATIONAL INC,doyle dane bernbach international,sec_former_name
0000066740,3M CO,MINNESOTA MINING & MANUFACTURING CO,minnesota mining manufacturing,sec_former_name
0000717605,HEXCEL CORP,HEXCEL CORP /DE/,hexcel corp de,sec_current_name
0000818686,TEVA PHARMACEUTICALS,TEVA PHARMACEUTICAL INDUSTRIES LTD,teva pharmaceutical industries,sec_current_name
0000847942,STRATEGIC ACQUISITIONS INC,STRATEGIC ACQUISITIONS INC /NV/,strategic acquisitions inc nv,sec_current_name
0001413754,MARIZYME INC,GBS Enterprises Inc,gbs enterprises,sec_former_name
0001413754,MARIZYME INC,Swav Enterprises Ltd.,swav enterprises,sec_former_name
0001466258,TRANE TECHNOLOGIES PLC,Ingersoll-Rand plc,ingersollrand,sec_former_name
0001501585,HUNTINGTON INGALLS IND INC,"HUNTINGTON INGALLS INDUSTRIES, INC.",huntington ingalls industries,sec_current_name
0001501585,HUNTINGTON INGALLS IND INC,"Huntington Ingalls Industries, Inc.",huntington ingalls industries,sec_former_name
0001501585,HUNTINGTON INGALLS IND INC,"New Ships, Inc.",new ships,sec_former_name
0001501585,HUNTINGTON INGALLS IND INC,"NEW S HOLDCO, INC.",new s holdco,sec_former_name
0001506293,PINTEREST INC,Cold Brew Labs Inc.,cold brew labs,sec_former_name
0001571949,INTERCONTINENTAL EXCHANGE,"IntercontinentalExchange Group, Inc.",intercontinentalexchange group,sec_former_name
0001571949,INTERCONTINENTAL EXCHANGE,"Intercontinental Exchange Group, Inc.",intercontinental exchange group,sec_former_name
0001603923,WEATHERFORD INTL PLC,Weatherford International plc,weatherford international,sec_current_name
0001603923,WEATHERFORD INTL PLC,Weatherford International Ltd,weatherford international,sec_former_name
0000217346,TEXTRON INC,AMERICAN TEXTRON INC,american textron,sec_former_name
0000039263,CULLEN/FROST BANKERS INC,CULLEN FROST BANKERS INC,cullen frost bankers,sec_former_name
0000039263,CULLEN/FROST BANKERS INC,FROST BANK CORP,frost bank,sec_former_name
0000822416,PULTEGROUP INC,PULTEGROUP INC/MI/,pultegroup incmi,sec_current_name
0000822416,PULTEGROUP INC,PULTE HOMES INC/MI/,pulte homes incmi,sec_former_name
0000822416,PULTEGROUP INC,PULTE CORP,pulte,sec_former_name
0000822416,PULTEGROUP INC,PHM CORP,phm,sec_former_name
0000908255,BORGWARNER INC,BORG WARNER AUTOMOTIVE INC,borg warner automotive,sec_former_name
0001018724,AMAZON.COM INC,AMAZON COM INC,amazon com,sec_current_name
0001037646,METTLER-TOLEDO INTL INC,METTLER TOLEDO INTERNATIONAL INC/,mettler toledo international inc,sec_current_name
0001037646,METTLER-TOLEDO INTL INC,METTLER TOLEDO INTERNATIONAL INC,mettler toledo international,sec_former_name
0001037646,METTLER-TOLEDO INTL INC,MT INVESTORS INC,mt investors,sec_former_name
0001065059,CENTRUS ENERGY CORP,USEC INC,usec,sec_former_name
0001166003,XPO INC,"XPO Logistics, Inc.",xpo logistics,sec_former_name
0001166003,XPO INC,EXPRESS-1 EXPEDITED SOLUTIONS INC,express1 expedited solutions,sec_former_name
0001166003,XPO INC,SEGMENTZ INC,segmentz,sec_former_name
0001324424,EXPEDIA GROUP INC,"Expedia Group, Inc.",expedia group,sec_current_name
0001354866,BYRNA TECHNOLOGIES INC,Security Devices International Inc.,security devices international,sec_former_name
0001521332,APTIV PLC,Delphi Automotive PLC,delphi automotive,sec_former_name
0000912595,MID-AMERICA APT CMNTYS INC,MID AMERICA APARTMENT COMMUNITIES INC.,mid america apartment communities,sec_current_name
0000912595,MID-AMERICA APT CMNTYS INC,MID AMERICA APARTMENT COMMUNITIES INC,mid america apartment communities,sec_former_name
0001584207,ONEMAIN HOLDINGS INC,"OneMain Holdings, Inc.",onemain holdings,sec_current_name
0001584207,ONEMAIN HOLDINGS INC,"Springleaf Holdings, Inc.",springleaf holdings,sec_former_name
0001584207,ONEMAIN HOLDINGS INC,"Springleaf Holdings, LLC",springleaf holdings,sec_former_name
0000025598,ONEMAIN FINANCE CORP,SPRINGLEAF FINANCE CORP,springleaf finance,sec_former_name
0000025598,ONEMAIN FINANCE CORP,AMERICAN GENERAL FINANCE CORP,american general finance,sec_former_name
0000025598,ONEMAIN FINANCE CORP,CREDITHRIFT FINANCIAL CORP,credithrift financial,sec_former_name
0001722482,AVANTOR INC,Vail Holdco Corp,vail holdco,sec_former_name
0000820313,AMPHENOL CORP,AMPHENOL CORP /DE/,amphenol corp de,sec_current_name
0000860748,KEMPER CORP/DE,KEMPER Corp,kemper,sec_current_name
0000860748,KEMPER CORP/DE,UNITRIN INC,unitrin,sec_former_name
0000092380,SOUTHWEST AIRLINES,AIR SOUTHWEST CO,air southwest,sec_former_name
0001040765,VORNADO REALTY 7.875 PUB INC,VORNADO REALTY LP,vornado realty lp,sec_current_name
0001097864,ON SEMICONDUCTOR CORP,SCG HOLDING CORP,scg,sec_former_name
0001439288,ZURN ELKAY WATER SOLUTI CORP,Zurn Elkay Water Solutions Corp,zurn elkay water solutions,sec_current_name
0001439288,ZURN ELKAY WATER SOLUTI CORP,Zurn Water Solutions Corp,zurn water solutions,sec_former_name
0001439288,ZURN ELKAY WATER SOLUTI CORP,Rexnord Corp,rexnord,sec_former_name
0001439288,ZURN ELKAY WATER SOLUTI CORP,"Rexnord Holdings, Inc",rexnord holdings,sec_former_name
0001467760,APOLLO COMMERCIAL RE FIN INC,"Apollo Commercial Real Estate Finance, Inc.",apollo commercial real estate finance,sec_current_name
0001571283,REXFORD INDUS REALTY,"Rexford Industrial Realty, Inc.",rexford industrial realty,sec_current_name
0001571283,REXFORD INDUS REALTY,"Rexford Industrial, Inc.",rexford industrial,sec_former_name
0001630031,BRIXMOR OPERATING PRTNRS LP,Brixmor Operating Partnership LP,brixmor operating partnership lp,sec_current_name
0001609550,INSPIRE MEDICAL SYSTEM,"Inspire Medical Systems, Inc.",inspire medical systems,sec_current_name
0000230557,SELECTIVE INS GROUP INC,SELECTIVE INSURANCE GROUP INC,selective insurance,sec_current_name
0000230557,SELECTIVE INS GROUP INC,SRI CORP,sri,sec_former_name
0000062709,MARSH,"MARSH & MCLENNAN COMPANIES, INC.",marsh mclennan companies,sec_current_name
0000062709,MARSH,MARSH & MCLENNAN COMPANIES INC,marsh mclennan companies,sec_former_name
0000062709,MARSH,MARLENNAN CORP,marlennan,sec_former_name
0000879169,INCYTE CORP,INCYTE GENOMICS INC,incyte genomics,sec_former_name
0000879169,INCYTE CORP,INCYTE PHARMACEUTICALS INC,incyte pharmaceuticals,sec_former_name
0001000753,INSPERITY INC,ADMINISTAFF INC \DE\,administaff inc de,sec_former_name
0001048286,MARRIOTT INTL INC,MARRIOTT INTERNATIONAL INC /MD/,marriott international inc md,sec_current_name
0001048286,MARRIOTT INTL INC,NEW MARRIOTT MI INC,new marriott mi,sec_former_name
0001077428,TEXAS CAPITAL BANCSHARES INC,TEXAS CAPITAL BANCSHARES INC/TX,texas capital bancshares inctx,sec_current_name
0001336047,BOARDWALK PIPELINE PRTNRS-LP,"Boardwalk Pipeline Partners, LP",boardwalk pipeline partners lp,sec_current_name
0001336920,LEIDOS HOLDINGS INC,"Leidos Holdings, Inc.",leidos holdings,sec_current_name
0001336920,LEIDOS HOLDINGS INC,"SAIC, Inc.",saic,sec_former_name
0001476204,PHILLIPS EDISON & CO INC,"Phillips Edison & Company, Inc.",phillips edison company,sec_current_name
0001476204,PHILLIPS EDISON & CO INC,"PHILLIPS EDISON GROCERY CENTER REIT I, INC.",phillips edison grocery center reit i,sec_former_name
0001476204,PHILLIPS EDISON & CO INC,"Phillips Edison Grocery Center REIT I, Inc.",phillips edison grocery center reit i,sec_former_name
0001476204,PHILLIPS EDISON & CO INC,Phillips Edison - ARC Shopping Center REIT Inc.,phillips edison arc shopping center reit,sec_former_name
0001522727,USA COMPRESSION PRTNRS LP,"USA Compression Partners, LP",usa compression partners lp,sec_current_name
0001539638,TRIUMPH FINANCIAL INC,"Triumph Bancorp, Inc.",triumph bancorp,sec_former_name
0001617640,ZILLOW GROUP INC,"ZILLOW GROUP, INC.",zillow group,sec_current_name
0001617640,ZILLOW GROUP INC,Zebra Holdco Inc.,zebra holdco,sec_former_name
0001655759,ARVINAS INC,"ARVINAS HOLDING COMPANY, LLC",arvinas holding company,sec_former_name
0001668397,MEDPACE HOLDINGS INC,"Medpace Holdings, Inc.",medpace holdings,sec_current_name
0000201533,CONSUMERS ENERGY CO,CONSUMERS POWER CO,consumers power,sec_former_name
0000026172,CUMMINS INC,CUMMINS ENGINE CO INC,cummins engine,sec_former_name
0000064040,S&P GLOBAL INC,MCGRAW HILL FINANCIAL INC,mcgraw hill financial,sec_former_name
0000064040,S&P GLOBAL INC,MCGRAW-HILL COMPANIES INC,mcgrawhill companies,sec_former_name
0000064040,S&P GLOBAL INC,MCGRAW HILL INC,mcgraw hill,sec_former_name
0000751364,NNN REIT INC,"NATIONAL RETAIL PROPERTIES, INC.",national retail properties,sec_former_name
0000751364,NNN REIT INC,COMMERCIAL NET LEASE REALTY INC,commercial net lease realty,sec_former_name
0000751364,NNN REIT INC,CNL REALTY INVESTORS INC /DE/,cnl realty investors inc de,sec_former_name
0000889900,PATTERSON-UTI ENERGY INC,PATTERSON UTI ENERGY INC,patterson uti energy,sec_current_name
0000889900,PATTERSON-UTI ENERGY INC,PATTERSON ENERGY INC,patterson energy,sec_former_name
0000091142,SMITH (A.O.),SMITH A O CORP,smith a o,sec_current_name
0000939767,EXELIXIS INC,EXELIXIS PHARMACEUTICALS INC,exelixis pharmaceuticals,sec_former_name
0001025378,W P CAREY INC,CAREY W P & CO LLC,carey w p,sec_former_name
0001025378,W P CAREY INC,CAREY DIVERSIFIED LLC,carey diversified,sec_former_name
0001058290,COGNIZANT TECH SOLUTIONS,COGNIZANT TECHNOLOGY SOLUTIONS CORP,cognizant technology solutions,sec_current_name
0001135971,PEPCO HOLDINGS INC,NEW RC INC,new rc,sec_former_name
0000078100,PECO ENERGY CO,PHILADELPHIA ELECTRIC CO,philadelphia electric,sec_former_name
0000027879,DELMARVA POWER & LIGHT CO,DELMARVA POWER & LIGHT CO /DE/,delmarva power light co de,sec_current_name
0001130464,BLACK HILLS CORP,BLACK HILLS CORP /SD/,black hills corp sd,sec_current_name
0001392972,PROS HOLDINGS INC,"PROS Holdings, Inc.",pros holdings,sec_current_name
0001393883,DHI GROUP INC,"DHI GROUP, INC.",dhi group,sec_current_name
0001393883,DHI GROUP INC,"DICE HOLDINGS, INC.",dice holdings,sec_former_name
0001410384,Q2 HOLDINGS INC,"Q2 Holdings, Inc.",q2 holdings,sec_current_name
0001410384,Q2 HOLDINGS INC,"CBG Holdings, Inc.",cbg holdings,sec_former_name
0001410384,Q2 HOLDINGS INC,CBG Holdings Inc,cbg,sec_former_name
0000014272,BRISTOL-MYERS SQUIBB CO,BRISTOL MYERS SQUIBB CO,bristol myers squibb,sec_current_name
0000014272,BRISTOL-MYERS SQUIBB CO,BRISTOL MYERS CO,bristol myers,sec_former_name
0001433270,ANTERO RESOURCES CORP,ANTERO RESOURCES APPALACHIAN CORP,antero resources appalachian,sec_former_name
0001433270,ANTERO RESOURCES CORP,ANTERO RESOURCES BARNETT CORP,antero resources barnett,sec_former_name
0001479094,STAG INDUSTRIAL INC,"STAG Industrial REIT, Inc.",stag industrial reit,sec_former_name
0001520262,ALKERMES PLC,Alkermes plc.,alkermes plc,sec_current_name
0001520262,ALKERMES PLC,ANTLER SCIENCE TWO PLC,antler science two,sec_former_name
0001520262,ALKERMES PLC,Antler Science Two Ltd,antler science two,sec_former_name
0001623925,ANTERO MIDSTREAM CORP,Antero Midstream GP LP,antero midstream gp lp,sec_former_name
0001623925,ANTERO MIDSTREAM CORP,Antero Resources Midstream Management LLC,antero resources midstream management,sec_former_name
0000045012,HALLIBURTON CO,HALLIBURTON OIL WELL CEMENTING CO,halliburton oil well cementing,sec_former_name
0000049600,EASTGROUP PROPERTIES,EASTGROUP PROPERTIES II INC,eastgroup properties ii,sec_former_name
0000049600,EASTGROUP PROPERTIES,ICM REALTY,icm realty,sec_former_name
0000064803,CVS HEALTH CORP,CVS CAREMARK CORP,cvs caremark,sec_former_name
0000064803,CVS HEALTH CORP,CVS/CAREMARK CORP,cvscaremark,sec_former_name
0000064803,CVS HEALTH CORP,CVS CORP,cvs,sec_former_name
0000732712,VERIZON COMMUNICATIONS INC,BELL ATLANTIC CORP,bell atlantic,sec_former_name
0000732717,AT&T INC,SBC COMMUNICATIONS INC,sbc communications,sec_former_name
0000732717,AT&T INC,SOUTHWESTERN BELL CORP,southwestern bell,sec_former_name
0000766704,WELLTOWER INC,HEALTH CARE REIT INC /DE/,health care reit inc de,sec_former_name
0000007789,ASSOCIATED BANC-CORP,ASSOCIATED BANK SERVICES INC,associated bank services,sec_former_name
0000812074,O-I GLASS INC,"O-I Glass, Inc. /DE/",oi glass inc de,sec_current_name
0000812074,O-I GLASS INC,OWENS ILLINOIS INC /DE/,owens illinois inc de,sec_former_name
0000812074,O-I GLASS INC,OWENS-ILLINOIS INC /DE/,owensillinois inc de,sec_former_name
0000875045,BIOGEN INC,BIOGEN IDEC INC.,biogen idec,sec_former_name
0000875045,BIOGEN INC,BIOGEN IDEC INC,biogen idec,sec_former_name
0000875045,BIOGEN INC,IDEC PHARMACEUTICALS CORP / DE,idec pharmaceuticals corp de,sec_former_name
0000943452,WABTEC CORP,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,westinghouse air brake technologies,sec_current_name
0000943452,WABTEC CORP,WESTINGHOUSE AIR BRAKE CO /DE/,westinghouse air brake co de,sec_former_name
0001725430,INTELLIGENT BIO SOLUTION INC,INTELLIGENT BIO SOLUTIONS INC.,intelligent bio solutions,sec_current_name
0001725430,INTELLIGENT BIO SOLUTION INC,GBS Inc.,gbs,sec_former_name
0001725430,INTELLIGENT BIO SOLUTION INC,"Glucose Biosensor Systems (Greater China) Holdings, Inc.",glucose biosensor systems greater china holdings,sec_former_name
0001004980,PG&E CORP,PG&E PARENT CO INC,pge parent,sec_former_name
0001014473,VERISIGN INC,VERISIGN INC/CA,verisign incca,sec_current_name
0001026214,FEDERAL HOME LOAN MORTG CORP,FEDERAL HOME LOAN MORTGAGE CORP,federal home loan mortgage,sec_current_name
0001043219,ANNALY CAPITAL MANAGEMENT,ANNALY MORTGAGE MANAGEMENT INC,annaly mortgage management,sec_former_name
0001052752,GETTY REALTY CORP,GETTY REALTY CORP /MD/,getty realty corp md,sec_current_name
0000106640,WHIRLPOOL CORP,WHIRLPOOL CORP /DE/,whirlpool corp de,sec_current_name
0000106640,WHIRLPOOL CORP,WHIRLPOOL SEEGER CORP,whirlpool seeger,sec_former_name
0001136893,FIDELITY NATIONAL INFO SVCS,"Fidelity National Information Services, Inc.",fidelity national information services,sec_current_name
0001136893,FIDELITY NATIONAL INFO SVCS,CERTEGY INC,certegy,sec_former_name
0001136893,FIDELITY NATIONAL INFO SVCS,EQUIFAX PS INC,equifax ps,sec_former_name
0001253689,CRESCENT BIOPHARMA INC,GLYCOMIMETICS INC,glycomimetics,sec_current_name
0001280784,HERCULES CAPITAL INC,HERCULES TECHNOLOGY GROWTH CAPITAL INC,hercules technology growth capital,sec_former_name
0001307748,INVENTRUST PROPERTIES CORP,"Inland American Real Estate Trust, Inc.",inland american real estate trust,sec_former_name
0001318220,WASTE CONNECTIONS INC,Progressive Waste Solutions Ltd.,progressive waste solutions,sec_former_name
0001318220,WASTE CONNECTIONS INC,IESI-BFC Ltd,iesibfc,sec_former_name
0001318220,WASTE CONNECTIONS INC,BFI Canada Ltd,bfi canada,sec_former_name
0001338749,POTLATCHDELTIC CORP,POTLATCH CORP,potlatch,sec_former_name
0001338749,POTLATCHDELTIC CORP,"Potlatch Holdings, Inc.",potlatch holdings,sec_former_name
0001411207,ALLISON TRANSMISSION HLDGS,Allison Transmission Holdings Inc,allison transmission,sec_current_name
0001456772,OFFICE PROPERTIES INCOME TR,OFFICE PROPERTIES INCOME TRUST,office properties income trust,sec_current_name
0001456772,OFFICE PROPERTIES INCOME TR,GOVERNMENT PROPERTIES INCOME TRUST,government properties income trust,sec_former_name
0001456772,OFFICE PROPERTIES INCOME TR,Government Properties Income Trust,government properties income trust,sec_former_name
0001478242,IQVIA HOLDINGS INC,"Quintiles IMS Holdings, Inc.",quintiles ims holdings,sec_former_name
0001478242,IQVIA HOLDINGS INC,Quintiles Transnational Holdings Inc.,quintiles transnational,sec_former_name
0001506307,KINDER MORGAN INC,Kinder Morgan Holdco LLC,kinder morgan holdco,sec_former_name
0001508655,SIXTH STREET SPECIALTY LENDI,"Sixth Street Specialty Lending, Inc.",sixth street specialty lending,sec_current_name
0001508655,SIXTH STREET SPECIALTY LENDI,"TPG Specialty Lending, Inc.",tpg specialty lending,sec_former_name
0001552033,TRANSUNION,"TransUnion Holding Company, Inc.",transunion holding company,sec_former_name
0001627475,UPWORK INC,"Elance-oDesk, Inc.",elanceodesk,sec_former_name
0001637459,KRAFT HEINZ CO,H.J. Heinz Holding Corp,hj heinz,sec_former_name
0000004904,AMERICAN ELECTRIC POWER CO,KINGSPORT UTILITIES INC,kingsport utilities,sec_former_name
0000050172,INDIANA MICHIGAN POWER CO,INDIANA MICHIGAN ELECTRIC CO/IN,indiana michigan electric coin,sec_former_name
0000081027,PUBLIC SERVICE CO OF OKLA,PUBLIC SERVICE CO OF OKLAHOMA,public service co of oklahoma,sec_current_name
0000092487,SOUTHWESTERN ELECTRIC PWR CO,SOUTHWESTERN ELECTRIC POWER CO,southwestern electric power,sec_current_name
0001702780,OPTIMUM COMMUNICATIONS INC,"Altice USA, Inc.",altice usa,sec_current_name
0001722684,WYNDHAM HOTELS & RESRTS,"WYNDHAM HOTELS & RESORTS, INC.",wyndham hotels resorts,sec_current_name
0001757073,ENVISTA HOLDINGS CORP,DH Dental Holding Corp.,dh dental,sec_former_name
0001889539,COREBRIDGE FINANCIAL INC,"SAFG Retirement Services, Inc.",safg retirement services,sec_former_name
0001910139,MOBILEYE GLOBAL INC,Mobileye Holdings Inc.,mobileye,sec_former_name
0001910139,MOBILEYE GLOBAL INC,Mobileye Group Inc.,mobileye,sec_former_name
